Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
298,1,STEP,-1261559796,-1259593896,1965900,-1
299,1,STEP,-1259299696,-1258045696,1254000,-1
300,1,STEP,-1257730196,-1256439996,1290200,-1
301,1,STEP,-1256013196,-1254080596,1932600,-1
302,1,STEP,-1253761196,-1251731896,2029300,-1
303,1,STEP,-1251266396,-1248847996,2418400,-1
304,1,STEP,-1248468296,-1247084996,1383300,-1
305,1,STEP,-1246639096,-1244444396,2194700,-1
306,1,STEP,-1244026796,-1242560996,1465800,-1
307,1,STEP,-1242133496,-1240419496,1714000,-1
308,1,STEP,-1240123696,-1238787596,1336100,-1
309,1,STEP,-1238476896,-1237184096,1292800,-1
310,1,STEP,-1236861996,-1235434396,1427600,-1
311,1,STEP,-1235056896,-1233698196,1358700,-1
312,1,STEP,-1233283696,-1231667996,1615700,-1
313,1,STEP,-1231271496,-1228716896,2554600,-1
314,1,STEP,-1228114896,-1226698596,1416300,-1
315,1,STEP,-1226267396,-1224701496,1565900,-1
316,1,STEP,-1224183296,-1222594196,1589100,-1
317,1,STEP,-1222224696,-1219942696,2282000,-1
318,1,STEP,-1219525196,-1217238896,2286300,-1
319,1,STEP,-1216932796,-1215425796,1507000,-1
320,1,STEP,-1215094396,-1212185596,2908800,-1
321,1,STEP,-1211759996,-1209149296,2610700,-1
322,1,STEP,-1208737996,-1207294096,1443900,-1
323,1,STEP,-1206885296,-1205387196,1498100,-1
324,1,STEP,-1205036496,-1203407196,1629300,-1
325,1,STEP,-1203024996,-1200493296,2531700,-1
326,1,STEP,-1200114596,-1197486896,2627700,-1
327,1,STEP,-1197079696,-1194829896,2249800,-1
328,1,STEP,-1194434896,-1192713796,1721100,-1
329,1,STEP,-1192291196,-1190050096,2241100,-1
330,1,STEP,-1189717896,-1187993996,1723900,-1
331,1,STEP,-1187734796,-1186255496,1479300,-1
332,1,STEP,-1185913296,-1184125296,1788000,-1
333,1,STEP,-1183792196,-1182097496,1694700,-1
334,1,STEP,-1179833396,-1177451196,2382200,-1
335,1,STEP,-1176968596,-1175448396,1520200,-1
336,1,STEP,-1175041096,-1173332496,1708600,-1
337,1,STEP,-1173061196,-1171468896,1592300,-1
338,1,STEP,-1171228996,-1169876096,1352900,-1
339,1,STEP,-1169638996,-1168380096,1258900,-1
340,1,STEP,-1167840596,-1166285496,1555100,-1
341,1,STEP,-1166023996,-1164571396,1452600,-1
342,1,STEP,-1164327696,-1162721396,1606300,-1
343,1,STEP,-1161242796,-1159587696,1655100,-1
344,1,STEP,-1159344696,-1157844696,1500000,-1
345,1,STEP,-1157635596,-1156160596,1475000,-1
346,1,STEP,-1155876196,-1154194896,1681300,-1
347,1,STEP,-1153827296,-1152007696,1819600,-1
348,1,STEP,-1151384796,-1149259196,2125600,-1
349,1,STEP,-1148912396,-1147250796,1661600,-1
350,1,STEP,-1146892496,-1144674796,2217700,-1
351,1,STEP,-1144100896,-1142533096,1567800,-1
352,1,STEP,-1142188596,-1139816596,2372000,-1
353,1,STEP,-1139385296,-1137529796,1855500,-1
354,1,STEP,-1137013896,-1135019596,1994300,-1
355,1,STEP,-1134615496,-1132370196,2245300,-1
356,1,STEP,-1131930996,-1129350896,2580100,-1
357,1,STEP,-1128801696,-1126630196,2171500,-1
358,1,STEP,-1126183996,-1124704196,1479800,-1
359,1,STEP,-1124296796,-1120646196,3650600,-1
360,1,STEP,-1119469496,-1116787596,2681900,-1
361,1,STEP,-1116430996,-1114782496,1648500,-1
362,1,STEP,-1113813796,-1111440196,2373600,-1
363,1,STEP,-1110728396,-1108986796,1741600,-1
364,1,STEP,-1107926496,-1105606396,2320100,-1
365,1,STEP,-1104584196,-1101381496,3202700,-1
366,1,STEP,-1100815996,-1097756996,3059000,-1
367,1,STEP,-1097222196,-1094283096,2939100,-1
368,1,STEP,-1093717896,-1090967996,2749900,-1
369,1,STEP,-1089694296,-1087418096,2276200,-1
370,1,STEP,-1087080596,-1084780096,2300500,-1
